case_id,age,gender,business_sector,business_age_yrs,num_applicants,cibil_score,num_active_loans,num_overdue_accounts,loan_ask_lakhs,annual_gst_turnover_lakhs,gst_seasonality_cv,revenue_lakhs,cogs_pct,net_profit_margin_pct,cash_profit_lakhs,total_assets_lakhs,total_debt_lakhs,net_worth_lakhs,debt_to_equity,current_ratio,debtors_days,creditors_days,avg_bank_balance_lakhs,total_credits_12m_lakhs,total_debits_12m_lakhs,num_cheque_bounces,num_emi_bounces,bank_credit_to_revenue,loan_to_revenue,loan_to_net_worth,abb_to_loan,cash_profit_to_loan,foir,risk_label,risk_label_3class
GC-LAP-02912,44,F,Construction,6,1,724.0,2,0,94.8,444.8,0.0434,424.8,72.1,17.05,81.8,380.3,206.9,173.5,1.193,2.18,10.0,80,51.39,310.2,268.4,0.0,0,0.73,0.223,0.546,0.5421,0.863,0.314,Low,Low
GC-LAP-02913,36,M,Trading,18,1,645.0,1,1,134.6,310.1,0.2573,317.1,64.0,12.29,55.1,340.9,93.4,247.6,0.377,1.78,59.0,44,9.21,294.7,290.1,0.0,0,0.929,0.424,0.544,0.0684,0.409,0.461,Medium,Medium
GC-LAP-02914,48,M,Manufacturing,24,3,717.0,1,0,50.2,117.7,0.2436,148.3,54.9,18.23,31.9,240.3,148.7,91.5,1.625,1.74,77.0,18,29.35,139.9,143.7,0.0,0,0.943,0.339,0.548,0.5847,0.636,0.415,Low,Low
GC-LAP-02915,47,F,Textiles,8,1,765.0,1,0,135.2,61.4,0.1082,43.8,66.4,20.35,10.9,50.5,23.5,27.0,0.868,2.49,95.0,46,42.9,32.3,27.3,1.0,2,0.739,3.087,4.999,0.3173,0.081,2.327,Medium,Medium
GC-LAP-02916,56,M,Logistics,11,1,793.0,3,0,41.3,,0.1202,157.9,71.4,16.64,30.6,47.4,24.3,23.0,1.056,1.94,70.0,94,,147.3,133.5,0.0,0,0.932,0.261,1.792,1.3448,0.74,0.783,Low,Low
GC-LAP-02917,40,M,Manufacturing,10,2,698.0,1,0,141.2,90.9,0.2008,94.6,63.2,31.12,32.6,70.8,37.3,33.5,1.115,1.15,42.0,46,10.63,43.6,39.7,0.0,0,0.461,1.493,4.216,0.0753,0.231,0.807,Medium,Medium
GC-LAP-02918,47,M,Services,8,1,731.0,1,0,113.7,358.0,0.3313,364.7,59.4,26.05,110.1,487.1,316.0,171.1,1.846,1.36,65.0,52,9.19,287.4,248.6,0.0,1,0.788,0.312,0.664,0.0808,0.968,0.203,Low,Low
GC-LAP-02919,42,M,Trading,5,1,794.0,1,0,39.0,146.8,0.3398,102.8,73.2,14.58,17.5,214.7,119.6,95.2,1.257,1.63,68.0,18,9.18,64.8,60.2,1.0,0,0.63,0.38,0.41,0.2354,0.449,0.663,Low,Low
GC-LAP-02920,52,M,Retail,4,2,722.0,1,1,119.0,189.6,0.1285,203.3,54.9,25.37,57.8,258.6,95.6,163.0,0.586,1.61,33.0,73,16.86,254.9,197.8,0.0,0,1.254,0.585,0.73,0.1417,0.486,0.4,Low,Low
GC-LAP-02921,36,M,Trading,4,1,763.0,3,0,182.5,1036.6,0.1744,917.5,54.7,36.89,374.4,844.2,362.6,481.5,0.753,1.52,71.0,53,159.86,1052.6,1069.1,1.0,0,1.147,0.199,0.379,0.8759,2.051,0.118,Low,Low
GC-LAP-02922,47,M,Construction,12,2,745.0,1,0,91.9,227.6,0.2761,256.5,66.2,14.82,55.3,243.8,86.7,157.1,0.551,1.81,111.0,59,7.38,222.4,229.6,2.0,0,0.867,0.358,0.585,0.0803,0.602,0.348,Low,Low
GC-LAP-02923,40,M,Services,7,1,680.0,3,0,55.0,688.6,0.1642,736.1,62.9,5.57,57.2,721.3,450.7,270.6,1.665,1.17,63.0,78,31.91,689.3,649.3,0.0,1,0.936,0.075,0.203,0.5802,1.04,0.453,Medium-Low,Low
GC-LAP-02924,41,M,Services,1,2,665.0,2,2,92.8,308.4,0.2746,355.7,65.9,30.1,115.1,549.4,234.6,314.8,0.745,0.84,92.0,44,15.24,355.8,288.1,1.0,2,1.0,0.261,0.295,0.1642,1.24,0.22,High,High
GC-LAP-02925,42,M,Textiles,12,1,,1,0,30.8,109.7,0.3412,122.6,45.5,20.47,30.0,98.9,40.0,58.9,0.68,1.32,80.0,79,84.38,67.6,72.2,0.0,0,0.551,0.251,0.523,2.7396,0.975,0.347,Medium-High,High
GC-LAP-02926,44,M,Services,9,2,559.0,2,0,145.1,291.4,0.2341,276.8,55.8,15.49,46.7,273.7,128.5,145.2,0.885,1.06,30.0,99,28.64,333.9,255.2,1.0,0,1.206,0.524,1.0,0.1974,0.322,0.704,Medium-High,High
GC-LAP-02927,41,M,Retail,16,1,679.0,4,0,188.4,59.2,0.0602,67.2,64.9,18.53,15.7,90.7,47.0,43.7,1.075,1.94,106.0,62,27.41,55.3,49.3,3.0,0,0.822,2.802,4.31,0.1455,0.083,3.256,Medium,Medium
GC-LAP-02928,43,F,Trading,11,1,636.0,1,1,90.6,350.0,0.1114,435.5,66.5,16.89,86.6,696.6,384.9,311.7,1.235,1.81,80.0,65,6.22,390.7,359.1,0.0,0,0.897,0.208,0.291,0.0687,0.956,0.22,Medium-Low,Low
GC-LAP-02929,54,M,Manufacturing,2,1,783.0,1,1,102.8,155.9,0.2219,176.7,73.9,12.06,25.6,230.3,185.8,44.5,4.175,1.1,10.0,93,8.23,172.4,148.9,0.0,0,0.975,0.582,2.31,0.0801,0.249,0.813,Medium-High,High
GC-LAP-02930,49,M,Services,1,1,801.0,1,1,234.0,296.0,0.186,285.4,64.5,12.86,45.7,323.3,111.4,211.9,0.526,2.37,47.0,68,8.72,234.4,196.0,1.0,2,0.821,0.82,1.104,0.0373,0.195,0.869,High,High
GC-LAP-02931,48,F,Services,6,1,676.0,2,0,302.0,189.6,0.3582,160.3,67.8,12.8,31.3,110.9,59.0,51.9,1.136,1.3,79.0,38,12.84,113.8,108.3,0.0,0,0.71,1.884,5.817,0.0425,0.104,1.773,Medium-High,High
GC-LAP-02932,38,F,Services,6,2,885.0,0,0,186.0,687.3,0.1143,499.8,44.3,32.83,173.1,334.9,163.5,171.4,0.954,1.95,25.0,91,34.96,393.2,370.3,0.0,0,0.787,0.372,1.085,0.188,0.931,0.155,Low,Low
GC-LAP-02933,34,M,Retail,14,2,802.0,0,0,65.3,309.2,0.2041,266.8,49.4,34.18,92.5,441.5,211.1,230.4,0.916,1.15,50.0,76,8.54,223.6,246.0,0.0,0,0.838,0.245,0.283,0.1308,1.417,0.102,Low,Low
GC-LAP-02934,49,M,Services,9,1,731.0,3,0,252.0,240.9,0.265,317.8,70.5,12.88,56.1,308.6,92.4,216.2,0.427,1.04,45.0,17,11.29,255.1,258.2,1.0,0,0.803,0.793,1.165,0.0448,0.223,0.968,Medium,Medium
GC-LAP-02935,49,M,Textiles,15,1,809.0,2,0,173.8,212.4,0.2152,197.8,68.1,10.97,26.9,365.0,171.0,194.1,0.881,1.77,47.0,96,29.61,186.0,177.4,2.0,0,0.94,0.879,0.896,0.1704,0.155,1.379,Medium-Low,Low
GC-LAP-02936,53,M,Services,3,2,681.0,1,0,138.4,348.1,0.2614,397.9,42.0,21.39,92.3,455.7,225.6,230.1,0.981,1.73,72.0,62,5.35,390.3,366.0,0.0,2,0.981,0.348,0.602,0.0387,0.667,0.281,High,High
GC-LAP-02937,37,M,Trading,14,3,703.0,1,0,144.5,230.5,0.0689,210.9,52.0,38.37,83.0,337.2,157.6,179.6,0.877,2.47,77.0,44,2.3,247.2,272.0,0.0,0,1.172,0.685,0.804,0.0159,0.574,0.323,Low,Low
GC-LAP-02938,40,M,Manufacturing,13,1,747.0,0,0,227.7,59.4,0.4412,59.1,75.0,9.27,8.7,30.5,19.3,11.2,1.73,2.22,77.0,22,8.75,52.5,53.2,1.0,0,0.889,3.853,20.403,0.0384,0.038,3.772,Medium,Medium
GC-LAP-02939,28,M,Textiles,1,1,678.0,2,2,39.3,205.0,0.3615,179.0,68.1,16.07,38.9,174.2,56.4,117.7,0.48,1.34,86.0,67,6.47,218.1,200.2,0.0,0,1.219,0.22,0.334,0.1646,0.99,0.454,Medium,Medium
GC-LAP-02940,38,M,Manufacturing,16,1,642.0,2,1,109.6,300.7,0.3401,312.0,57.2,19.87,67.7,266.8,93.1,173.7,0.536,1.05,102.0,69,22.38,248.8,228.9,0.0,0,0.797,0.351,0.631,0.2042,0.618,0.41,Medium,Medium
GC-LAP-02941,49,M,Manufacturing,10,1,663.0,5,1,60.6,,0.1067,194.9,65.0,27.04,59.0,341.7,113.2,228.5,0.496,2.21,98.0,58,16.96,139.1,106.0,0.0,2,0.714,0.311,0.265,0.2799,0.973,0.657,High,High
GC-LAP-02942,38,M,Manufacturing,11,1,708.0,0,2,153.5,356.6,0.2391,322.6,61.1,20.55,83.0,507.3,167.0,340.3,0.491,1.86,40.0,48,7.78,366.5,328.8,0.0,1,1.136,0.476,0.451,0.0507,0.541,0.266,Medium-Low,Low
GC-LAP-02943,47,M,Trading,5,2,748.0,0,0,73.5,323.4,0.1823,334.1,53.8,24.28,88.8,234.3,140.1,94.1,1.488,1.73,89.0,40,39.19,232.2,219.1,0.0,0,0.695,0.22,0.781,0.5332,1.207,0.119,Low,Low
GC-LAP-02944,40,M,Services,16,2,699.0,2,1,764.5,64.6,0.2006,78.6,52.5,27.09,24.0,101.9,76.0,25.9,2.938,1.17,18.0,104,8.15,63.4,57.7,0.0,1,0.806,9.721,29.543,0.0107,0.031,5.093,High,High
GC-LAP-02945,44,M,Manufacturing,4,1,621.0,3,0,188.4,182.5,0.1024,227.2,80.3,9.39,31.6,166.3,79.8,86.5,0.922,1.41,109.0,68,15.71,363.6,367.1,0.0,0,1.6,0.829,2.178,0.0834,0.167,1.43,Medium,Medium
GC-LAP-02946,32,M,Services,14,3,748.0,0,0,59.7,757.3,0.3424,938.7,53.0,27.04,275.4,1246.8,577.7,669.1,0.863,2.41,94.0,69,9.96,1073.8,1058.3,0.0,0,1.144,0.064,0.089,0.1668,4.613,0.031,Low,Low
GC-LAP-02947,42,M,Trading,14,1,796.0,0,0,213.3,436.3,0.1494,490.3,62.5,31.6,177.4,1012.2,161.2,851.0,0.189,1.58,70.0,103,11.49,641.6,551.0,0.0,0,1.309,0.435,0.251,0.0539,0.832,0.173,Low,Low
GC-LAP-02948,25,F,Retail,5,1,680.0,1,0,93.9,466.1,0.2704,638.0,38.4,40.12,261.8,1222.6,742.1,480.4,1.545,1.04,44.0,68,3.5,664.0,548.1,2.0,0,1.041,0.147,0.195,0.0373,2.789,0.075,Low,Low
GC-LAP-02949,40,M,Retail,19,1,819.0,0,0,126.8,593.3,0.2163,638.3,89.6,4.89,45.6,478.6,161.3,317.3,0.509,2.56,95.0,38,21.18,574.2,543.9,0.0,0,0.9,0.199,0.4,0.167,0.359,0.401,Low,Low
GC-LAP-02950,28,M,Construction,11,1,772.0,2,0,110.2,252.7,,281.3,84.0,11.38,41.5,224.6,131.9,92.7,1.422,0.67,32.0,61,9.71,266.7,264.9,0.0,0,0.948,0.392,1.188,0.0881,0.377,0.671,Low,Low
GC-LAP-02951,51,F,Services,13,2,656.0,2,0,40.1,202.3,0.1183,180.0,49.9,31.07,61.2,186.7,98.2,88.5,1.109,1.16,98.0,75,19.22,215.1,205.2,2.0,0,1.194,0.223,0.453,0.4793,1.526,0.29,Low,Low
GC-LAP-02952,48,M,Trading,2,1,681.0,5,0,83.5,542.0,0.221,653.7,73.4,9.95,83.6,1536.8,858.5,678.3,1.266,,80.0,101,5.86,451.8,492.5,2.0,0,0.691,0.128,0.123,0.0702,1.002,0.502,Medium-Low,Low
GC-LAP-02953,45,F,Retail,20,2,701.0,2,0,61.0,654.4,0.0572,769.8,74.5,14.11,127.0,948.8,270.6,678.2,0.399,0.94,62.0,31,5.46,758.8,834.7,0.0,0,0.986,0.079,0.09,0.0895,2.082,0.164,Medium-High,High
GC-LAP-02954,54,M,Trading,3,2,708.0,1,0,28.2,711.9,0.1523,845.4,53.8,21.16,203.4,714.1,233.3,480.8,0.485,0.92,81.0,57,17.33,576.5,634.1,,0,0.682,0.033,0.059,0.6145,7.212,0.049,Low,Low
GC-LAP-02955,34,M,Trading,15,1,573.0,3,0,87.3,191.8,0.2801,134.7,68.5,11.5,16.2,115.1,63.3,51.8,1.221,1.96,136.0,56,28.52,130.3,111.3,2.0,0,0.967,0.648,1.684,0.3267,0.185,1.891,Medium,Medium
GC-LAP-02956,55,M,Food_Processing,5,2,674.0,1,0,102.6,475.2,0.1898,451.9,44.9,39.41,194.6,685.7,89.5,596.2,0.15,1.12,37.0,84,33.04,355.3,283.3,0.0,0,0.786,0.227,0.172,0.322,1.896,0.107,Low,Low
GC-LAP-02957,49,F,Logistics,6,2,686.0,1,2,49.7,276.8,0.1382,331.9,61.2,26.27,101.3,491.9,210.2,281.8,0.746,1.46,75.0,73,31.39,309.6,261.6,0.0,0,0.933,0.15,0.176,0.6316,2.037,0.13,Medium-Low,Low
GC-LAP-02958,40,F,Textiles,13,3,833.0,2,0,229.2,492.0,0.0938,456.0,67.0,21.41,121.9,335.5,108.3,227.3,0.476,1.99,63.0,77,3.89,590.3,469.0,0.0,0,1.294,0.503,1.008,0.017,0.532,0.369,Low,Low
GC-LAP-02959,51,M,Logistics,15,1,733.0,1,0,150.0,281.4,0.2596,317.3,63.3,19.87,79.4,363.0,222.2,140.8,1.579,1.54,78.0,14,5.65,222.6,212.1,0.0,0,0.701,0.473,1.066,0.0377,0.529,0.348,Low,Low
GC-LAP-02960,33,M,Textiles,3,1,672.0,4,0,127.6,294.5,0.2252,302.7,62.6,26.29,92.5,171.3,57.2,114.1,0.501,1.37,81.0,42,2.68,218.5,217.5,1.0,0,0.722,0.422,1.118,0.021,0.725,0.458,Medium,Medium
GC-LAP-02961,35,M,Construction,15,3,693.0,2,0,163.4,524.7,0.1847,611.1,55.0,14.6,98.8,616.3,203.8,412.5,0.494,1.47,107.0,69,30.37,543.8,565.5,0.0,2,0.89,0.267,0.396,0.1859,0.605,0.359,Medium-Low,Low
GC-LAP-02962,37,M,Trading,15,1,745.0,0,0,166.6,238.3,0.4325,314.9,62.9,28.37,102.1,159.0,58.1,100.9,0.576,1.12,40.0,72,15.88,364.5,383.4,0.0,0,1.157,0.529,1.651,0.0953,0.613,0.235,Low,Low
GC-LAP-02963,37,M,Food_Processing,5,1,697.0,3,0,140.9,231.0,0.1105,206.8,67.8,13.65,34.1,195.6,41.4,154.2,0.269,1.13,116.0,63,33.39,192.0,180.5,0.0,0,0.929,0.681,0.914,0.237,0.242,1.124,Medium-Low,Low
GC-LAP-02964,33,M,Textiles,17,2,684.0,7,0,303.2,630.8,0.1353,726.9,43.9,19.7,163.1,969.5,539.1,430.4,1.253,1.36,75.0,97,45.27,625.1,591.5,0.0,0,0.86,0.417,0.704,0.1493,0.538,0.525,Low,Low
GC-LAP-02965,51,M,Trading,2,1,686.0,1,0,34.1,400.0,0.0943,433.4,60.1,34.5,160.8,713.6,318.6,395.0,0.807,1.07,20.0,69,12.25,548.1,485.2,1.0,0,1.265,0.079,0.086,0.3592,4.716,0.068,Low,Low
GC-LAP-02966,39,M,Services,6,2,748.0,1,2,165.1,150.5,0.1617,146.8,70.8,22.24,37.9,220.7,111.2,109.5,1.015,1.91,56.0,22,4.34,126.3,129.5,0.0,0,0.86,1.124,1.508,0.0263,0.23,0.785,Medium,Medium
GC-LAP-02967,44,M,Manufacturing,12,2,637.0,4,0,95.9,,0.1618,791.1,89.0,6.64,66.1,1075.0,501.3,573.8,0.874,,83.0,68,31.54,564.3,510.6,0.0,0,0.713,0.121,0.167,0.3289,0.69,0.572,Medium-Low,Low
GC-LAP-02968,37,M,Food_Processing,5,2,654.0,0,2,278.0,832.4,0.242,921.5,88.4,5.72,87.0,1686.2,1110.5,575.7,1.929,0.5,90.0,43,5.03,694.2,591.9,0.0,0,0.753,0.302,0.483,0.0181,0.313,0.46,Medium-High,High
GC-LAP-02969,27,M,Services,11,2,664.0,2,0,149.7,369.4,0.1904,365.0,53.8,29.59,115.7,393.9,237.7,156.2,1.521,1.13,70.0,69,12.89,367.0,306.2,2.0,2,1.005,0.41,0.958,0.0861,0.773,0.29,Medium-Low,Low
GC-LAP-02970,44,F,Trading,11,1,653.0,1,1,112.1,239.8,0.1868,257.5,65.6,22.53,61.4,382.5,125.0,257.6,0.485,1.03,61.0,14,44.18,228.6,213.2,0.0,0,0.888,0.435,0.435,0.3941,0.548,0.36,Medium-High,High
GC-LAP-02971,26,M,Trading,9,2,670.0,2,0,285.0,927.7,0.2203,844.0,64.7,19.86,207.3,1222.3,694.8,527.4,1.317,1.08,100.0,38,12.14,1097.6,1138.8,2.0,0,1.3,0.338,0.54,0.0426,0.727,0.256,Medium-Low,Low
GC-LAP-02972,41,M,Logistics,14,2,773.0,1,1,107.5,885.7,0.2898,1077.1,35.3,42.91,495.8,1712.8,990.4,722.4,1.371,1.85,97.0,94,5.18,620.0,598.7,0.0,0,0.576,0.1,0.149,0.0482,4.613,0.043,Medium-Low,Low
GC-LAP-02973,31,M,Services,8,1,782.0,1,0,154.3,161.4,0.1961,154.6,51.4,42.77,72.2,119.4,65.6,53.8,1.22,1.3,63.0,76,4.39,178.0,163.7,1.0,0,1.152,0.998,2.868,0.0285,0.468,0.391,Medium,Medium
GC-LAP-02974,57,F,Trading,11,1,736.0,4,0,82.2,249.4,,226.2,43.0,36.54,86.8,216.2,77.3,139.0,0.556,1.11,,94,89.07,163.9,168.4,3.0,1,0.725,0.363,0.592,1.0836,1.056,0.413,Low,Low
GC-LAP-02975,49,M,Services,15,2,732.0,2,2,129.9,288.9,0.1771,360.2,56.8,31.78,121.6,432.5,193.4,239.1,0.809,1.84,36.0,55,16.43,378.5,334.3,0.0,2,1.051,0.361,0.543,0.1265,0.936,0.252,Medium,Medium
GC-LAP-02976,42,M,Manufacturing,13,1,679.0,0,0,414.3,945.9,0.1776,759.0,61.1,20.6,199.9,1194.2,572.7,621.5,0.922,2.6,69.0,94,14.26,865.7,672.2,2.0,0,1.141,0.546,0.667,0.0344,0.482,0.298,Low,Low
GC-LAP-02977,52,F,Manufacturing,13,1,595.0,3,0,201.1,560.0,0.1775,620.9,55.9,29.1,193.8,781.6,294.2,487.3,0.604,1.61,128.0,43,11.34,720.6,584.2,0.0,0,1.161,0.324,0.413,0.0564,0.964,0.242,Medium-Low,Low
GC-LAP-02978,35,M,Services,4,1,728.0,3,0,155.0,239.4,0.2793,275.1,59.1,29.07,93.6,134.6,70.1,64.6,1.086,1.11,138.0,68,18.82,294.7,249.6,0.0,0,1.071,0.563,2.401,0.1214,0.604,0.431,Medium-Low,Low
GC-LAP-02979,46,M,Services,12,1,737.0,5,0,52.6,299.0,0.4303,285.3,53.4,26.86,84.3,455.5,213.7,241.8,0.884,1.31,38.0,67,7.51,267.0,223.6,0.0,2,0.936,0.184,0.218,0.1428,1.602,0.446,Medium-Low,Low
GC-LAP-02980,43,M,Trading,5,1,679.0,3,0,493.8,278.0,0.2341,278.3,62.2,26.39,82.3,257.4,150.8,106.6,1.414,1.73,96.0,98,4.52,279.7,274.7,0.0,2,1.005,1.775,4.631,0.0092,0.167,1.083,Medium-High,High
GC-LAP-02981,44,F,Services,3,2,655.0,1,0,57.7,175.9,0.1264,176.9,59.2,33.79,69.9,227.3,103.2,124.1,0.831,1.57,72.0,5,94.21,135.2,114.9,3.0,0,0.765,0.326,0.465,1.6328,1.212,0.205,Low,Low
GC-LAP-02982,52,M,Manufacturing,9,2,643.0,2,1,125.2,431.6,0.1548,458.3,47.1,29.21,146.7,667.1,333.3,333.8,0.998,1.99,91.0,68,11.0,183.3,133.1,0.0,0,0.4,0.273,0.375,0.0879,1.172,0.205,Medium,Medium
GC-LAP-02983,47,M,Food_Processing,5,2,730.0,2,0,158.3,412.0,0.321,429.0,89.7,7.45,45.8,240.4,184.7,55.7,3.318,1.44,159.0,87,28.4,453.7,404.9,3.0,0,1.057,0.369,2.844,0.1794,0.29,0.759,Medium-High,High
GC-LAP-02984,44,M,Trading,13,1,724.0,2,0,175.3,454.1,0.3247,441.3,63.9,17.04,77.4,132.4,119.1,13.2,9.0,0.83,109.0,34,21.97,351.8,310.7,1.0,0,0.797,0.397,13.242,0.1253,0.442,0.481,Medium-Low,Low
GC-LAP-02985,28,M,Manufacturing,14,1,791.0,1,1,78.6,350.7,,323.9,71.0,14.02,59.6,364.8,134.0,230.8,,2.21,122.0,47,59.39,264.5,243.5,1.0,1,0.817,0.243,0.341,0.7556,0.758,0.291,Low,Low
GC-LAP-02986,34,F,Manufacturing,1,1,671.0,0,0,179.4,140.3,0.2652,174.7,50.3,33.27,64.1,272.8,134.0,138.8,0.966,0.78,48.0,23,38.97,181.2,130.8,0.0,2,1.037,1.027,1.293,0.2172,0.357,0.403,Medium-High,High
GC-LAP-02987,41,M,Manufacturing,5,1,702.0,2,0,57.5,192.4,0.295,225.3,54.9,,41.2,275.1,109.2,165.9,0.658,1.91,12.0,72,28.95,180.3,167.7,0.0,0,0.8,0.255,0.347,0.5035,0.716,0.493,Low,Low
GC-LAP-02988,42,M,Manufacturing,2,2,721.0,4,0,324.5,313.6,0.2133,304.9,56.6,19.71,81.1,328.5,198.0,130.5,1.518,1.73,66.0,49,8.83,259.6,228.0,0.0,0,0.851,1.064,2.487,0.0272,0.25,0.872,Medium,Medium
GC-LAP-02989,32,F,Trading,7,1,687.0,5,0,55.5,563.2,0.2312,483.8,74.2,17.76,95.9,717.7,276.2,441.5,0.626,1.99,136.0,51,28.45,571.0,620.2,0.0,2,1.18,0.115,0.126,0.5126,1.728,0.396,Medium,Medium
GC-LAP-02990,61,M,Retail,12,1,770.0,1,0,87.9,365.3,0.2331,492.4,51.7,16.12,88.0,878.2,238.1,640.1,0.372,1.3,116.0,93,36.94,653.4,606.8,1.0,2,1.327,0.179,0.137,0.4203,1.002,0.212,Medium-Low,Low
GC-LAP-02991,54,M,Trading,8,3,794.0,2,0,169.0,126.8,0.1488,158.9,53.1,42.18,71.5,207.0,96.6,110.4,0.876,2.13,64.0,65,29.57,195.6,163.1,0.0,1,1.231,1.064,1.531,0.175,0.423,0.508,Medium-Low,Low
GC-LAP-02992,46,M,Trading,7,1,653.0,2,1,108.3,72.8,0.2752,71.1,43.4,21.28,15.9,130.0,42.9,87.1,0.493,1.96,93.0,13,32.9,75.7,53.2,3.0,0,1.064,1.523,1.244,0.3038,0.147,1.735,High,High
GC-LAP-02993,42,M,Food_Processing,16,2,692.0,2,1,298.0,292.2,0.1948,389.5,73.0,12.48,60.6,300.8,176.4,124.4,1.418,1.31,83.0,66,21.52,393.9,414.7,0.0,0,1.011,0.765,2.396,0.0722,0.203,0.907,Medium,Medium
GC-LAP-02994,40,M,Trading,1,1,799.0,2,0,255.4,399.6,0.0359,353.5,40.7,38.53,138.0,138.9,69.9,69.1,1.012,1.66,36.0,35,38.01,407.6,435.0,2.0,0,1.153,0.723,3.699,0.1488,0.54,0.354,Low,Low
GC-LAP-02995,34,M,Retail,16,1,739.0,4,2,161.4,522.2,0.4669,451.7,33.9,43.44,216.9,320.6,246.7,73.9,3.34,2.11,85.0,36,23.52,464.6,429.6,1.0,2,1.029,0.357,2.185,0.1457,1.344,0.218,Medium-High,High
GC-LAP-02996,42,M,Manufacturing,7,2,727.0,2,2,78.0,1023.2,0.1566,1319.4,64.7,21.17,318.7,1982.1,1041.8,940.3,1.108,0.75,117.0,30,15.15,1178.0,1240.8,2.0,0,0.893,0.059,0.083,0.1942,4.086,0.073,Medium-Low,Low
GC-LAP-02997,44,M,Manufacturing,9,1,740.0,4,0,111.3,658.8,0.1233,655.6,50.1,29.3,209.7,588.2,202.1,386.1,0.524,2.17,98.0,62,8.92,542.7,496.8,3.0,0,0.828,0.17,0.288,0.0801,1.885,0.191,Low,Low
GC-LAP-02998,32,M,Services,7,1,759.0,2,0,50.0,461.9,0.1615,516.1,66.8,26.33,153.3,675.4,33.8,641.6,0.053,1.38,34.0,45,3.77,564.5,596.7,1.0,1,1.094,0.097,0.078,0.0754,3.065,0.125,Low,Low
GC-LAP-02999,44,M,Trading,17,1,743.0,2,0,72.4,205.9,0.3192,200.6,61.1,19.72,42.4,237.4,41.2,196.3,0.21,1.38,19.0,48,13.71,182.7,170.5,0.0,0,0.911,0.361,0.369,0.1894,0.585,0.529,High,High
GC-LAP-03000,40,M,Textiles,3,1,732.0,1,0,103.7,824.0,0.0805,909.5,46.3,20.47,198.2,1202.8,328.6,874.1,0.376,,124.0,75,29.18,867.7,797.0,2.0,0,0.954,0.114,0.119,0.2814,1.911,0.106,Low,Low
GC-LAP-03001,26,M,Manufacturing,10,2,720.0,0,1,203.4,140.6,0.094,142.3,52.6,17.21,30.5,236.6,158.3,78.3,2.023,1.66,96.0,87,3.78,103.9,102.0,1.0,1,0.73,1.429,2.599,0.0186,0.15,0.959,Medium-High,High
GC-LAP-03002,35,M,Services,12,2,800.0,6,2,154.8,645.7,0.2979,767.1,50.0,31.32,269.2,872.7,128.8,744.0,0.173,1.45,,23,15.18,1027.1,974.2,0.0,2,1.339,0.202,0.208,0.0981,1.739,0.217,Low,Low
GC-LAP-03003,38,F,Services,1,1,704.0,1,0,102.1,1122.2,0.1442,1241.7,51.0,25.52,336.5,2127.7,308.7,1819.0,0.17,1.04,133.0,5,6.08,1307.1,1095.6,0.0,0,1.053,0.082,0.056,0.0595,3.295,0.062,Medium-Low,Low
GC-LAP-03004,57,F,Manufacturing,5,1,720.0,2,0,76.1,799.3,0.3177,823.4,41.1,21.8,213.4,487.6,274.1,213.4,1.284,1.22,40.0,67,72.99,696.5,668.0,0.0,1,0.846,0.092,0.357,0.9591,2.805,0.108,Low,Low
GC-LAP-03005,46,M,Retail,9,2,813.0,0,0,189.8,228.5,0.0922,253.4,56.1,24.53,81.5,319.8,115.4,204.3,0.565,1.72,90.0,16,19.33,257.2,245.7,1.0,0,1.015,0.749,0.929,0.1018,0.429,0.335,Low,Low
GC-LAP-03006,31,F,Services,5,1,739.0,1,0,84.9,94.9,0.085,118.7,68.6,10.07,14.7,242.0,18.5,223.5,0.083,1.98,67.0,25,56.93,116.5,111.4,0.0,0,0.982,0.715,0.38,0.6706,0.173,1.24,Medium-Low,Low
GC-LAP-03007,45,F,Construction,5,2,716.0,2,2,180.5,177.6,0.1407,210.9,87.6,8.67,29.0,350.3,149.7,200.6,0.746,1.23,72.0,47,109.09,267.8,286.5,0.0,0,1.27,0.856,0.9,0.6044,0.161,1.309,Medium-High,High
GC-LAP-03008,29,M,Retail,8,3,757.0,1,0,163.7,309.8,0.2637,392.2,55.6,27.12,118.9,582.0,160.8,421.2,0.382,1.51,65.0,80,18.87,345.9,304.2,0.0,0,0.882,0.417,0.389,0.1153,0.726,0.249,Low,Low
GC-LAP-03009,50,M,Trading,13,1,733.0,2,2,227.6,246.8,0.2019,266.6,60.4,30.67,88.8,287.9,127.0,160.8,0.79,1.04,62.0,91,5.21,246.8,232.2,1.0,0,0.926,0.854,1.415,0.0229,0.39,0.504,Medium-High,High
GC-LAP-03010,38,F,Services,8,1,675.0,3,1,71.8,355.1,0.0879,469.4,54.6,20.75,106.3,664.1,400.8,263.3,1.522,1.77,62.0,44,47.73,416.0,375.9,0.0,0,0.886,0.153,0.273,0.6648,1.481,0.267,Low,Low
GC-LAP-03011,41,M,Trading,15,3,734.0,1,1,92.0,84.3,0.2985,81.0,52.4,32.88,30.2,130.3,60.9,69.4,0.877,1.5,85.0,40,21.71,37.7,35.0,0.0,0,0.465,1.135,1.325,0.236,0.329,0.637,Medium,Medium
